date,total_cases,total_tests
31-12-2019,0,
01-01-2020,0,
02-01-2020,0,
03-01-2020,0,
04-01-2020,0,
05-01-2020,0,
06-01-2020,0,
07-01-2020,0,
08-01-2020,0,
09-01-2020,0,
10-01-2020,0,
11-01-2020,0,
12-01-2020,0,
13-01-2020,0,
14-01-2020,0,
15-01-2020,0,
16-01-2020,0,
17-01-2020,0,
18-01-2020,0,
19-01-2020,0,
20-01-2020,0,
21-01-2020,0,
22-01-2020,0,
23-01-2020,0,
24-01-2020,0,
25-01-2020,0,
26-01-2020,0,
27-01-2020,0,
28-01-2020,0,
29-01-2020,0,
30-01-2020,1,
31-01-2020,1,
01-02-2020,1,
02-02-2020,2,
03-02-2020,2,
04-02-2020,3,
05-02-2020,3,
06-02-2020,3,
07-02-2020,3,
08-02-2020,3,
09-02-2020,3,
10-02-2020,3,
11-02-2020,3,
12-02-2020,3,
13-02-2020,3,
14-02-2020,3,
15-02-2020,3,
16-02-2020,3,
17-02-2020,3,
18-02-2020,3,
19-02-2020,3,
20-02-2020,3,
21-02-2020,3,
22-02-2020,3,
23-02-2020,3,
24-02-2020,3,
25-02-2020,3,
26-02-2020,3,
27-02-2020,3,
28-02-2020,3,
29-02-2020,3,
01-03-2020,3,
02-03-2020,3,
03-03-2020,5,
04-03-2020,6,
05-03-2020,28,
06-03-2020,29,
07-03-2020,31,
08-03-2020,34,
10-03-2020,44,
11-03-2020,50,
12-03-2020,73,
13-03-2020,75,6500
14-03-2020,83,
15-03-2020,90,
16-03-2020,93,
17-03-2020,125,
18-03-2020,137,13125
19-03-2020,165,13316
20-03-2020,191,14376
21-03-2020,231,15701
22-03-2020,320,16999
23-03-2020,439,20707
24-03-2020,492,20864
25-03-2020,562,25144
26-03-2020,649,
27-03-2020,724,27688
28-03-2020,873,
29-03-2020,979,
30-03-2020,1071,
31-03-2020,1251,
01-04-2020,1397,
02-04-2020,1965,47951
03-04-2020,2301,69245
04-04-2020,2902,79950
05-04-2020,3374,89534
06-04-2020,4067,101068
07-04-2020,4421,114015
08-04-2020,5194,127919
09-04-2020,5734,144910
10-04-2020,6412,161330
11-04-2020,7447,179374
12-04-2020,8356,195748
13-04-2020,9152,217554
14-04-2020,10363,244893
15-04-2020,11438,274599
16-04-2020,12380,302956
17-04-2020,13387,335123
18-04-2020,14378,372123
19-04-2020,15712,401586
20-04-2020,17265,
21-04-2020,18600,462621
22-04-2020,19984,
23-04-2020,21393,500542
24-04-2020,23077,541789
25-04-2020,24506,579957
26-04-2020,26496,625309
27-04-2020,27892,665819
28-04-2020,29435,716733
29-04-2020,31332,770764
30-04-2020,33050,830201
01-05-2020,35043,902654
02-05-2020,37336,976363
03-05-2020,39980,1046450
04-05-2020,42533,1107233
05-05-2020,46433,1191946
06-05-2020,49391,1276781
07-05-2020,52952,1357413
08-05-2020,56342,1437788
09-05-2020,59662,1523213
10-05-2020,62939,1609037
